MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
5,19,2,1,9,20,21,3800
5,19,2,1,12,35,20,7100
5,17,1,1,,,38,0
2,16,2,1,,,79,0
3,20,1,1,,,86,0
5,14,1,1,,,58,0
5,16,2,1,,,32,0
5,16,1,1,5,70,32,3000
2,9,2,1,,,93,0
2,16,2,1,,,93,0
5,16,1,2,1,16,21,900
5,22,1,6,,,45,0
1,17,1,1,,,69,0
1,21,2,2,,,33,0
5,20,1,1,52,35,36,17500
5,10,2,2,,,12,
5,19,2,1,16,30,20,4000
5,16,1,8,24,40,21,20600
5,18,2,1,4,25,18,10000
1,1,1,8,52,40,41,12000
5,16,2,1,48,15,18,5400
5,17,2,1,,,26,0
2,16,1,1,,,89,0
5,16,2,1,,,18,0
5,13,2,2,,,16,0
5,16,1,1,,,18,0
5,18,1,9,,,18,0
5,20,1,6,1,36,23,6600
1,1,1,8,52,40,41,12000
5,19,1,9,52,15,21,12000
5,16,2,1,,,72,0
5,19,1,1,26,30,18,10000
5,18,2,1,1,15,18,2000
5,23,1,1,,,77,0
5,16,1,8,52,40,20,29000
1,23,2,1,,,89,0
5,20,1,1,,,29,0
5,19,1,9,,,20,0
5,21,1,1,,,85,0
5,23,1,8,52,40,23,18400
5,13,1,2,,,22,0
3,19,2,2,3,40,64,2300
2,20,2,1,,,84,0
4,17,1,1,52,40,29,6500
5,17,1,1,32,33,42,15000
5,16,1,1,,,35,0
5,16,2,6,,,18,0
3,16,1,1,,,66,0
3,19,2,2,3,40,64,2300
1,19,2,1,,,84,0
5,16,1,1,,,63,0
5,19,1,1,52,20,20,15800
5,16,1,1,48,45,33,11400
5,15,1,9,,,33,0
5,12,1,2,,,61,0
5,16,2,1,,,55,0
5,16,2,9,,,18,0
5,16,2,6,52,16,18,4000
2,19,1,9,,,93,0
5,19,2,6,,,20,0
5,16,2,8,52,98,20,24000
3,19,2,1,,,26,0
1,20,2,1,40,40,46,26000
1,23,1,1,,,93,0
5,12,2,1,52,20,32,16600
5,16,1,1,5,60,19,20000
3,16,2,1,,,46,0
3,16,2,6,,,81,0
5,18,1,1,,,84,0
